sample_id,noise_type,noise_score
0,none,0.08965361849054179
1,none,0.03643711659894029
2,none,0.05566516235440025
3,none,0.000569380378798993
4,unrelated,0.650650964818662
5,none,0.051166772991629916
6,none,0.07800277343175849
7,none,0.25652585165694364
8,unrelated,0.605453379251733
9,none,0.045034000812253706
10,none,0.03574706674855031
11,none,0.06763366877115674
12,none,0.025842400723506506
13,unrelated,0.6906517274660148
14,none,0.03313936464731244
15,none,0.26141923536099715
16,none,0.0627952945462492
17,none,0.0002654389236371659
18,none,0.06323533940662159
19,none,0.10458740215014319
20,none,0.06172374451367415
21,none,0.11032229676744337
22,none,0.04017947105288159
23,none,0.0003710860989341085
24,none,0.03797187406652166
25,none,0.06261432971883811
26,unrelated,0.6860267192797395
27,none,0.18138702979886875
28,none,0.008278847453635696
29,none,0.01370980844219021
30,none,0.005642494150658666
31,none,0.0839600593933859
32,none,0.04836983605023712
33,none,0.18575721414112992
34,none,0.045175910735492326
35,none,0.11043855905548745
36,none,0.10933815698688344
37,none,0.05587929261821506
38,none,0.03701140448145517
39,none,0.07756856733545696
40,none,0.13784627132656557
41,none,0.08443810145660083
42,none,0.07009679119789208
43,unrelated,0.6677585086836046
44,none,0.2259325573910381
45,none,0.057903480894778224
46,none,0.2011838299321358
47,none,0.057863973142972425
48,none,0.11695558633371435
49,none,0.11897260810387657
50,none,0.057111276719310385
51,none,0.0009423824619581469
52,unrelated,0.5234728616720024
53,none,0.27806323671306726
54,unrelated,0.23452972609309036
55,none,0.028324796583593676
56,none,0.06369995092483115
57,none,0.002176832597532729
58,none,0.019865496130088627
59,none,0.2952257606447174
60,none,0.12680582262579726
61,none,0.0041320981525172
62,none,0.004183250979160149
63,none,0.08586597049718231
64,none,0.014627913839685988
65,none,0.08283257074863287
66,none,0.34037267888028894
67,none,0.051089352818675896
68,none,0.005602372991612908
69,none,0.09225874744876628
70,none,0.012727192616045307
71,none,0.014704075011373094
72,none,0.09893603691650794
73,none,0.060526117032863445
74,none,0.027713468782569244
75,none,0.11454603687627694
76,none,0.4620392684418204
77,none,0.14024372451092557
78,none,0.11659352666256993
79,none,0.24029704381695446
80,none,0.0009555691299093064
81,unrelated,0.42014151626692803
82,unrelated,0.5991537842752719
83,none,0.14000189260683624
84,none,0.269411585969755
85,none,0.20533328349466917
86,none,0.03352695607634768
87,none,0.005223634353378203
88,none,0.04505848465782557
89,none,0.07728954190857314
90,none,0.04332283729484837
91,unrelated,0.5890894365843868
92,none,0.08197503190142949
93,none,0.05674586287106281
94,none,0.005694943699151244
95,none,0.2375340097563108
96,none,0.05224500191740542
97,none,0.06230159248573396
98,none,0.25362527805197876
99,none,0.07489258721961958
100,none,0.05262758429182395
101,none,0.02482201006294473
102,none,0.04915126622887687
103,none,0.043206230980898194
104,none,0.09938290674784643
105,none,0.03847875634261541
106,unrelated,0.6184904713098719
107,none,0.13687718698290774
108,none,0.1733216825323003
109,none,0.011181668545164917
110,none,0.065553847367647
111,none,0.0008399238460696715
112,unrelated,0.7256138161122349
113,unrelated,0.6643626289798167
114,none,0.06982772648709941
115,none,0.0628920893348033
116,none,0.3059885084055586
117,none,0.028598036294921393
118,none,0.04354328369831624
119,none,0.0674230319979102
120,none,0.12440955871005725
121,none,0.05225083876459899
122,none,0.19582001445825678
123,none,0.02187552502560259
124,none,0.10109446254655306
125,none,0.04319878041062822
126,none,0.020196617940892208
127,none,0.02310045024358636
128,none,0.12139790827126572
129,unrelated,0.6042180392579857
130,none,0.02017881783660458
131,none,0.01974980694019662
132,none,0.026691218650560608
133,none,0.08521540881004051
134,none,0.12858869991036548
135,none,0.04498061348926592
136,none,0.11305726509470898
137,none,0.03181377131598253
138,none,0.10363823638657742
139,none,0.06609005656248187
140,none,0.02453706406120233
141,none,0.007692457028077481
142,none,0.036670664544415976
143,none,0.24122240646775478
144,none,0.10076132956304315
145,none,0.09827140956617988
146,none,0.034008455417011134
147,none,0.04710693390035302
148,none,0.047588155838685066
149,none,0.054081522725400434
150,none,0.08465763669117785
151,unrelated,0.7875818868787793
152,none,0.11830759780856547
153,none,0.04324296735650183
154,none,0.2924161937352746
155,none,0.24832386451813426
156,none,0.20726738407115725
157,unrelated,0.6214865181324288
158,none,0.12562891164286052
159,none,0.03171125722278057
160,unrelated,0.8256935790229515
161,none,0.053723079417055175
162,none,0.33971747804398045
163,none,0.024062163662159713
164,none,0.16381113204507647
165,none,0.0373135792996502
166,none,0.023004794037647658
167,none,0.10878445831749882
168,none,0.07242303486319172
169,none,0.03902427350258804
170,none,0.10737305078832014
171,unrelated,0.7612440974204121
172,none,0.028400192261717777
173,none,0.0297549248824446
174,unrelated,0.6949534630852563
175,none,0.0468679878457824
176,none,0.051051411037249264
177,none,0.05107988129361057
178,none,0.22875361611764755
179,none,0.05431289306782108
180,none,0.048996642867315046
181,none,0.04745233784298733
182,none,0.06612099801987438
183,none,0.03888590462118105
184,none,0.1257598815855116
185,none,0.023516875435419703
186,none,0.043343453481184895
187,none,0.039276881985032125
188,none,0.16136787602646285
189,unrelated,0.5969728943301987
190,none,0.06184439378319762
191,none,0.13129141055311042
192,none,0.08123237265363002
193,none,0.07705371356724613
194,none,0.04575587166071296
195,none,0.03093019057145084
196,none,0.08317519958831461
197,unrelated,0.6879578482295636
198,none,0.017089753812242984
199,unrelated,0.6057924003356993
200,unrelated,0.6273537024740063
201,none,0.012740748239101712
202,none,0.017719067086109833
203,none,0.09126557095797766
204,none,0.05029357351770706
