tag,dataset,noise_type,feature,n_pos,n_neg,auc,auc_dir,is_new
ratio10,duplicate,duplicate,n_tokens,182,1827,0.4802,0.5198,True
ratio10,duplicate,duplicate,top20_share,182,1827,0.4752,0.5248,True
ratio10,duplicate,duplicate,top20_share_ok,161,1597,0.4482,0.5518,True
ratio10,duplicate,duplicate,top8_share,182,1827,0.5145,0.5145,True
ratio10,duplicate,duplicate,top8_loss_mean,182,1827,0.3767,0.6233,True
ratio10,duplicate,duplicate,top32_share,182,1827,0.5213,0.5213,True
ratio10,duplicate,duplicate,top32_loss_mean,182,1827,0.382,0.618,True
ratio10,duplicate,duplicate,top1_over_top8,182,1827,0.5218,0.5218,True
ratio10,duplicate,duplicate,hard_gini,182,1827,0.4853,0.5147,True
ratio10,duplicate,duplicate,top20_share_std,182,1827,0.563,0.563,True
ratio10,duplicate,duplicate,top8_share_std,182,1827,0.5352,0.5352,True
ratio10,duplicate,duplicate,frac_hard,182,1827,0.3687,0.6313,False
ratio10,duplicate,duplicate,max_token_loss,182,1827,0.3518,0.6482,False
ratio10,duplicate,duplicate,hard_loss_mean,182,1827,0.382,0.618,False
ratio10,duplicate,duplicate,entropy,182,1827,0.4061,0.5939,False
ratio10,garbled,garbled,n_tokens,155,1672,0.6772,0.6772,True
ratio10,garbled,garbled,top20_share,155,1672,0.1103,0.8897,True
ratio10,garbled,garbled,top20_share_ok,107,1462,0.0849,0.9151,True
ratio10,garbled,garbled,top8_share,155,1672,0.2017,0.7983,True
ratio10,garbled,garbled,top8_loss_mean,155,1672,0.8432,0.8432,True
ratio10,garbled,garbled,top32_share,155,1672,0.2491,0.7509,True
ratio10,garbled,garbled,top32_loss_mean,155,1672,0.8587,0.8587,True
ratio10,garbled,garbled,top1_over_top8,155,1672,0.1719,0.8281,True
ratio10,garbled,garbled,hard_gini,155,1672,0.1592,0.8408,True
ratio10,garbled,garbled,top20_share_std,155,1672,0.3991,0.6009,True
ratio10,garbled,garbled,top8_share_std,155,1672,0.4224,0.5776,True
ratio10,garbled,garbled,frac_hard,155,1672,0.9542,0.9542,False
ratio10,garbled,garbled,max_token_loss,155,1672,0.8092,0.8092,False
ratio10,garbled,garbled,hard_loss_mean,155,1672,0.8587,0.8587,False
ratio10,garbled,garbled,entropy,155,1672,0.9706,0.9706,False
ratio10,keyword,keyword,n_tokens,155,1672,0.5111,0.5111,True
ratio10,keyword,keyword,top20_share,155,1672,0.4352,0.5648,True
ratio10,keyword,keyword,top20_share_ok,135,1462,0.4263,0.5737,True
ratio10,keyword,keyword,top8_share,155,1672,0.4537,0.5463,True
ratio10,keyword,keyword,top8_loss_mean,155,1672,0.6037,0.6037,True
ratio10,keyword,keyword,top32_share,155,1672,0.4843,0.5157,True
ratio10,keyword,keyword,top32_loss_mean,155,1672,0.6098,0.6098,True
ratio10,keyword,keyword,top1_over_top8,155,1672,0.4429,0.5571,True
ratio10,keyword,keyword,hard_gini,155,1672,0.448,0.552,True
ratio10,keyword,keyword,top20_share_std,155,1672,0.5402,0.5402,True
ratio10,keyword,keyword,top8_share_std,155,1672,0.5261,0.5261,True
ratio10,keyword,keyword,frac_hard,155,1672,0.6335,0.6335,False
ratio10,keyword,keyword,max_token_loss,155,1672,0.6126,0.6126,False
ratio10,keyword,keyword,hard_loss_mean,155,1672,0.6098,0.6098,False
ratio10,keyword,keyword,entropy,155,1672,0.6375,0.6375,False
ratio10,mixed,duplicate,n_tokens,89,1672,0.5593,0.5593,True
ratio10,mixed,duplicate,top20_share,89,1672,0.4509,0.5491,True
ratio10,mixed,duplicate,top20_share_ok,74,1462,0.4429,0.5571,True
ratio10,mixed,duplicate,top8_share,89,1672,0.4361,0.5639,True
ratio10,mixed,duplicate,top8_loss_mean,89,1672,0.4572,0.5428,True
ratio10,mixed,duplicate,top32_share,89,1672,0.4518,0.5482,True
ratio10,mixed,duplicate,top32_loss_mean,89,1672,0.4633,0.5367,True
ratio10,mixed,duplicate,top1_over_top8,89,1672,0.4461,0.5539,True
ratio10,mixed,duplicate,hard_gini,89,1672,0.445,0.555,True
ratio10,mixed,duplicate,top20_share_std,89,1672,0.5982,0.5982,True
ratio10,mixed,duplicate,top8_share_std,89,1672,0.6411,0.6411,True
ratio10,mixed,duplicate,frac_hard,89,1672,0.4172,0.5828,False
ratio10,mixed,duplicate,max_token_loss,89,1672,0.4182,0.5818,False
ratio10,mixed,duplicate,hard_loss_mean,89,1672,0.4633,0.5367,False
ratio10,mixed,duplicate,entropy,89,1672,0.4703,0.5297,False
ratio10,mixed,garbled,n_tokens,36,1672,0.6846,0.6846,True
ratio10,mixed,garbled,top20_share,36,1672,0.1027,0.8973,True
ratio10,mixed,garbled,top20_share_ok,21,1462,0.0945,0.9055,True
ratio10,mixed,garbled,top8_share,36,1672,0.2056,0.7944,True
ratio10,mixed,garbled,top8_loss_mean,36,1672,0.8606,0.8606,True
ratio10,mixed,garbled,top32_share,36,1672,0.2532,0.7468,True
ratio10,mixed,garbled,top32_loss_mean,36,1672,0.8713,0.8713,True
ratio10,mixed,garbled,top1_over_top8,36,1672,0.1968,0.8032,True
ratio10,mixed,garbled,hard_gini,36,1672,0.1549,0.8451,True
ratio10,mixed,garbled,top20_share_std,36,1672,0.3869,0.6131,True
ratio10,mixed,garbled,top8_share_std,36,1672,0.4174,0.5826,True
ratio10,mixed,garbled,frac_hard,36,1672,0.9593,0.9593,False
ratio10,mixed,garbled,max_token_loss,36,1672,0.846,0.846,False
ratio10,mixed,garbled,hard_loss_mean,36,1672,0.8713,0.8713,False
ratio10,mixed,garbled,entropy,36,1672,0.9572,0.9572,False
ratio10,mixed,keyword,n_tokens,32,1672,0.433,0.567,True
ratio10,mixed,keyword,top20_share,32,1672,0.4875,0.5125,True
ratio10,mixed,keyword,top20_share_ok,31,1462,0.4475,0.5525,True
ratio10,mixed,keyword,top8_share,32,1672,0.5354,0.5354,True
ratio10,mixed,keyword,top8_loss_mean,32,1672,0.5487,0.5487,True
ratio10,mixed,keyword,top32_share,32,1672,0.5512,0.5512,True
ratio10,mixed,keyword,top32_loss_mean,32,1672,0.5459,0.5459,True
ratio10,mixed,keyword,top1_over_top8,32,1672,0.507,0.507,True
ratio10,mixed,keyword,hard_gini,32,1672,0.5426,0.5426,True
ratio10,mixed,keyword,top20_share_std,32,1672,0.5555,0.5555,True
ratio10,mixed,keyword,top8_share_std,32,1672,0.51,0.51,True
ratio10,mixed,keyword,frac_hard,32,1672,0.5898,0.5898,False
