dataset,feature,existing,auc
duplicate,loss_mean,1,0.36930245470125067
duplicate,loss_last,1,0.3719107068263712
duplicate,loss_std,1,0.5159996610244286
duplicate,loss_slope,1,0.48734559126338717
duplicate,loss_curvature,1,0.758115024117812
duplicate,converge_epoch,1,0.45775324873840983
duplicate,grad_norm_mean,1,0.34294284106407036
duplicate,grad_norm_cv,1,0.5774614224391241
duplicate,cos_sim_ref_mean,1,0.49687888102083927
duplicate,cos_sim_ref_std,0,0.32902104501446616
duplicate,cos_sim_global_mean,1,0.6096749834398176
duplicate,cos_sim_global_std,0,0.5528885061409899
duplicate,update_contrib_mean,1,0.33003769065443506
duplicate,tokens,0,0.5062655905457109
duplicate,first_step,0,0.9999990865086177
duplicate,max_token_loss,1,0.35176714363906486
duplicate,max_token_loss_std,0,0.4558319348959743
duplicate,max_token_loss_curv,0,0.6698830725924322
duplicate,frac_hard,1,0.36871379851675423
duplicate,frac_hard_std,0,0.44075136685974126
duplicate,frac_hard_curv,0,0.5979597851519032
duplicate,mean_loss,0,0.3547234101421294
duplicate,mean_loss_std,0,0.46741941692680605
duplicate,mean_loss_curv,0,0.6253917128301364
duplicate,user_loss,1,0.5
duplicate,user_loss_std,0,0.5
duplicate,user_loss_curv,0,0.5
duplicate,entropy,1,0.40614380146399853
duplicate,entropy_std,0,0.523341874327096
duplicate,entropy_curv,0,0.5402674774595957
duplicate,token_loss_skew,1,0.5197541876389937
duplicate,token_loss_skew_std,0,0.596185994581327
duplicate,token_loss_skew_curv,0,0.4408436260812316
duplicate,token_loss_kurt,0,0.520858553220409
duplicate,token_loss_kurt_std,0,0.5742837552070533
duplicate,token_loss_kurt_curv,0,0.43721499631372474
duplicate,n_hard,0,0.4755664423152108
duplicate,hard_loss_mean,0,0.3820365458296493
duplicate,hard_loss_max,0,0.35176714363906486
duplicate,hard_pos_std_mean,0,0.4833931804375154
duplicate,hard_pos_peak,0,0.4854201627600643
duplicate,hard_pos_jaccard,0,0.46090540548668635
duplicate,hard_id_uniq,0,0.5031096435037321
garbled,loss_mean,1,0.9548341023779223
garbled,loss_last,1,0.8651324812683641
garbled,loss_std,1,0.7802401605234188
garbled,loss_slope,1,0.20615220056058275
garbled,loss_curvature,1,0.6740917596416851
garbled,converge_epoch,1,0.9409358661055635
garbled,grad_norm_mean,1,0.8289152957893832
garbled,grad_norm_cv,1,0.16577889512626123
garbled,cos_sim_ref_mean,1,0.583435013780342
garbled,cos_sim_ref_std,0,0.238627847481932
garbled,cos_sim_global_mean,1,0.5791076360169413
garbled,cos_sim_global_std,0,0.48971554989665106
garbled,update_contrib_mean,1,0.8354665146795127
garbled,tokens,0,0.6648491189169354
garbled,first_step,0,0.5080432694935236
garbled,max_token_loss,1,0.8091854452847661
garbled,max_token_loss_std,0,0.4797094459021454
garbled,max_token_loss_curv,0,0.4496778052168544
garbled,frac_hard,1,0.9541673097700262
garbled,frac_hard_std,0,0.8601018675721562
garbled,frac_hard_curv,0,0.669744559345578
garbled,mean_loss,0,0.9406814323198025
garbled,mean_loss_std,0,0.7673830838092298
garbled,mean_loss_curv,0,0.6418621700879765
garbled,user_loss,1,0.5
garbled,user_loss_std,0,0.5
garbled,user_loss_curv,0,0.5
garbled,entropy,1,0.970620466121315
garbled,entropy_std,0,0.7534727581416886
garbled,entropy_curv,0,0.5204545454545455
garbled,token_loss_skew,1,0.06357180176867851
garbled,token_loss_skew_std,0,0.25857925189155717
garbled,token_loss_skew_curv,0,0.5078855196702594
garbled,token_loss_kurt,0,0.10060568531455
garbled,token_loss_kurt_std,0,0.1797434061574782
garbled,token_loss_kurt_curv,0,0.5018518876869787
garbled,n_hard,0,0.6039415804908166
garbled,hard_loss_mean,0,0.8587050470751659
garbled,hard_loss_max,0,0.8091854452847661
garbled,hard_pos_std_mean,0,0.6784476771106652
garbled,hard_pos_peak,0,0.6936834388022843
garbled,hard_pos_jaccard,0,0.30429271492514276
garbled,hard_id_uniq,0,0.7770141997221794
keyword,loss_mean,1,0.6268754928521795
keyword,loss_last,1,0.5719011146592131
keyword,loss_std,1,0.6486203261998267
keyword,loss_slope,1,0.343330132234029
keyword,loss_curvature,1,0.5917574555684815
keyword,converge_epoch,1,0.6022513617684642
keyword,grad_norm_mean,1,0.6393424994079268
keyword,grad_norm_cv,1,0.4512619878566428
keyword,cos_sim_ref_mean,1,0.5688721980621638
keyword,cos_sim_ref_std,0,0.484920896411906
keyword,cos_sim_global_mean,1,0.4969600895933985
keyword,cos_sim_global_std,0,0.4720235817651471
keyword,update_contrib_mean,1,0.635487126636009
keyword,tokens,0,0.5027714753424265
keyword,first_step,0,0.5080432694935236
keyword,max_token_loss,1,0.6126176879148016
keyword,max_token_loss_std,0,0.631966738694243
keyword,max_token_loss_curv,0,0.5158357771260997
keyword,frac_hard,1,0.633433014354067
keyword,frac_hard_std,0,0.6624903534496065
keyword,frac_hard_curv,0,0.5737382312085199
keyword,mean_loss,0,0.6418698873282913
keyword,mean_loss_std,0,0.6733485105726192
keyword,mean_loss_curv,0,0.5643424911251737
keyword,user_loss,1,0.5
keyword,user_loss_std,0,0.5
keyword,user_loss_curv,0,0.5
keyword,entropy,1,0.6375366568914955
keyword,entropy_std,0,0.6627951844420436
keyword,entropy_curv,0,0.6411290322580645
keyword,token_loss_skew,1,0.4369775395570237
keyword,token_loss_skew_std,0,0.45164733287108805
keyword,token_loss_skew_curv,0,0.5201310387273195
keyword,token_loss_kurt,0,0.43892130664776136
keyword,token_loss_kurt_std,0,0.4507319315357708
keyword,token_loss_kurt_curv,0,0.5303796383580427
keyword,n_hard,0,0.5133218860935329
keyword,hard_loss_mean,0,0.6098356227812933
keyword,hard_loss_max,0,0.6126176879148016
keyword,hard_pos_std_mean,0,0.5093552245716932
keyword,hard_pos_peak,0,0.5188242784380306
keyword,hard_pos_jaccard,0,0.5082921747183207
keyword,hard_id_uniq,0,0.5138755980861244
mixed,loss_mean,1,
mixed,loss_last,1,
mixed,loss_std,1,
mixed,loss_slope,1,
mixed,loss_curvature,1,
mixed,converge_epoch,1,
mixed,grad_norm_mean,1,
mixed,grad_norm_cv,1,
mixed,cos_sim_ref_mean,1,
mixed,cos_sim_ref_std,0,
mixed,cos_sim_global_mean,1,
mixed,cos_sim_global_std,0,
mixed,update_contrib_mean,1,
mixed,tokens,0,
mixed,first_step,0,
mixed,max_token_loss,1,
mixed,max_token_loss_std,0,
mixed,max_token_loss_curv,0,
mixed,frac_hard,1,
mixed,frac_hard_std,0,
mixed,frac_hard_curv,0,
mixed,mean_loss,0,
mixed,mean_loss_std,0,
mixed,mean_loss_curv,0,
mixed,user_loss,1,
mixed,user_loss_std,0,
mixed,user_loss_curv,0,
mixed,entropy,1,
mixed,entropy_std,0,
mixed,entropy_curv,0,
mixed,token_loss_skew,1,
mixed,token_loss_skew_std,0,
mixed,token_loss_skew_curv,0,
mixed,token_loss_kurt,0,
mixed,token_loss_kurt_std,0,
mixed,token_loss_kurt_curv,0,
mixed,n_hard,0,
mixed,hard_loss_mean,0,
mixed,hard_loss_max,0,
mixed,hard_pos_std_mean,0,
mixed,hard_pos_peak,0,
mixed,hard_pos_jaccard,0,
mixed,hard_id_uniq,0,
unrelated,loss_mean,1,0.723556863755488
unrelated,loss_last,1,0.5745822305155852
unrelated,loss_std,1,0.82734040698204
unrelated,loss_slope,1,0.16661659418649136
unrelated,loss_curvature,1,0.6351652990425329
unrelated,converge_epoch,1,0.7142038241425348
unrelated,grad_norm_mean,1,0.7637268603461872
unrelated,grad_norm_cv,1,0.4346489591222222
unrelated,cos_sim_ref_mean,1,0.5750465720910986
unrelated,cos_sim_ref_std,0,0.4545077464000645
unrelated,cos_sim_global_mean,1,0.5025780208786296
unrelated,cos_sim_global_std,0,0.4903983891249945
unrelated,update_contrib_mean,1,0.7244219413235895
unrelated,tokens,0,0.4933936597413617
unrelated,first_step,0,0.5080432694935236
unrelated,max_token_loss,1,0.6503684982250348
unrelated,max_token_loss_std,0,0.769323969748418
unrelated,max_token_loss_curv,0,0.5104298502855379
unrelated,frac_hard,1,0.7193066059577096
unrelated,frac_hard_std,0,0.8290206822040438
unrelated,frac_hard_curv,0,0.7612613829294643
unrelated,mean_loss,0,0.6674756906930082
unrelated,mean_loss_std,0,0.8502932551319649
unrelated,mean_loss_curv,0,0.7927226423830838
unrelated,user_loss,1,0.5
unrelated,user_loss_std,0,0.5
unrelated,user_loss_curv,0,0.5
unrelated,entropy,1,0.6374286155270875
unrelated,entropy_std,0,0.8227041210063282
unrelated,entropy_curv,0,0.799016051859855
unrelated,token_loss_skew,1,0.5319194225670995
unrelated,token_loss_skew_std,0,0.6418754958685682
unrelated,token_loss_skew_curv,0,0.38649302397585
unrelated,token_loss_kurt,0,0.5304023066354472
unrelated,token_loss_kurt_std,0,0.5884745631518857
unrelated,token_loss_kurt_curv,0,0.4367707103740542
unrelated,n_hard,0,0.45614485260070997
unrelated,hard_loss_mean,0,0.6167309770026239
unrelated,hard_loss_max,0,0.6503684982250348
unrelated,hard_pos_std_mean,0,0.446666152183979
unrelated,hard_pos_peak,0,0.4739813242784381
unrelated,hard_pos_jaccard,0,0.5193722025003857
unrelated,hard_id_uniq,0,0.4830760919895045
