noise_type,model,auc,acc,cm,n_test
duplicate,LR,0.9709,0.9498,"[[269, 7], [8, 15]]",299
duplicate,RF,0.9667,0.9365,"[[274, 2], [17, 6]]",299
garbled,LR,0.9987,0.9963,"[[249, 1], [0, 22]]",272
garbled,RF,0.9993,0.9926,"[[249, 1], [1, 21]]",272
keyword,LR,0.4973,0.9191,"[[250, 6], [16, 0]]",272
keyword,RF,0.5225,0.9375,"[[255, 1], [16, 0]]",272
unrelated,LR,0.9451,0.9338,"[[247, 9], [9, 7]]",272
unrelated,RF,0.9092,0.9412,"[[251, 5], [11, 5]]",272
mixed,LR,0.831,0.9211,"[[245, 10], [12, 12]]",279
mixed,RF,0.8221,0.9642,"[[255, 0], [10, 14]]",279
