dataset,features,samples,n,n_noise,lr_auc,rf_auc
duplicate,40dim,diag_subsample,996,90,0.9686,0.9706
duplicate,40dim,all_samples,996,90,0.9686,0.9706
duplicate,13traj,diag_subsample,996,90,0.9591,0.9669
duplicate,13traj,all_samples,16072,1461,0.9644,0.9818
garbled,40dim,diag_subsample,905,74,0.9991,0.9984
garbled,40dim,all_samples,905,74,0.9991,0.9984
garbled,13traj,diag_subsample,905,74,0.989,0.995
garbled,13traj,all_samples,14611,1461,0.9881,0.9961
keyword,40dim,diag_subsample,906,75,0.6501,0.6372
keyword,40dim,all_samples,906,75,0.6501,0.6372
keyword,13traj,diag_subsample,906,75,0.6318,0.6344
keyword,13traj,all_samples,14611,1461,0.7043,0.6866
mixed,40dim,diag_subsample,927,96,0.8911,0.8997
mixed,40dim,all_samples,927,96,0.8911,0.8997
mixed,13traj,diag_subsample,927,96,0.9035,0.8853
mixed,13traj,all_samples,14976,1826,0.8996,0.9225
unrelated,40dim,diag_subsample,906,75,0.9394,0.9194
unrelated,40dim,all_samples,906,75,0.9394,0.9194
unrelated,13traj,diag_subsample,906,75,0.8952,0.8871
unrelated,13traj,all_samples,14611,1461,0.9222,0.9332
