dataset,feature,existing,auc
mixed,loss_mean,1,
mixed,loss_last,1,
mixed,loss_std,1,
mixed,loss_slope,1,
mixed,loss_curvature,1,
mixed,converge_epoch,1,
mixed,grad_norm_mean,1,
mixed,grad_norm_cv,1,
mixed,cos_sim_ref_mean,1,
mixed,cos_sim_ref_std,0,
mixed,cos_sim_global_mean,1,
mixed,cos_sim_global_std,0,
mixed,update_contrib_mean,1,
mixed,tokens,0,
mixed,first_step,0,
mixed,ln_mean,0,
mixed,ln_std,0,
mixed,ln_first10,0,
mixed,max_token_loss,1,
mixed,max_token_loss_std,0,
mixed,max_token_loss_curv,0,
mixed,frac_hard,1,
mixed,frac_hard_std,0,
mixed,frac_hard_curv,0,
mixed,mean_loss,0,
mixed,mean_loss_std,0,
mixed,mean_loss_curv,0,
mixed,user_loss,1,
mixed,user_loss_std,0,
mixed,user_loss_curv,0,
mixed,entropy,1,
mixed,entropy_std,0,
mixed,entropy_curv,0,
mixed,token_loss_skew,1,
mixed,token_loss_skew_std,0,
mixed,token_loss_skew_curv,0,
mixed,token_loss_kurt,0,
mixed,token_loss_kurt_std,0,
mixed,token_loss_kurt_curv,0,
mixed,n_hard,0,
mixed,hard_loss_mean,0,
mixed,hard_loss_max,0,
mixed,hard_pos_std_mean,0,
mixed,hard_pos_peak,0,
mixed,hard_pos_jaccard,0,
mixed,hard_id_uniq,0,
near_duplicate,loss_mean,1,0.6188894527681701
near_duplicate,loss_last,1,0.573450498772912
near_duplicate,loss_std,1,0.6024310657578668
near_duplicate,loss_slope,1,0.39337700361489997
near_duplicate,loss_curvature,1,0.5227915147445756
near_duplicate,converge_epoch,1,0.6231351774788351
near_duplicate,grad_norm_mean,1,0.595787613567456
near_duplicate,grad_norm_cv,1,0.47861868661237816
near_duplicate,cos_sim_ref_mean,1,0.5848200747964178
near_duplicate,cos_sim_ref_std,0,0.45878665323766465
near_duplicate,cos_sim_global_mean,1,0.48810534514836085
near_duplicate,cos_sim_global_std,0,0.48702035159576484
near_duplicate,update_contrib_mean,1,0.594551364631236
near_duplicate,tokens,0,0.5091951447391364
near_duplicate,first_step,0,0.5080432694935236
near_duplicate,ln_mean,0,0.49342269653152965
near_duplicate,ln_std,0,0.4907198309928512
near_duplicate,ln_first10,0,0.49128838818265624
near_duplicate,max_token_loss,1,0.6800914492977311
near_duplicate,max_token_loss_std,0,0.6231382157740392
near_duplicate,max_token_loss_curv,0,0.5540226115141226
near_duplicate,frac_hard,1,0.644976076555024
near_duplicate,frac_hard_std,0,0.6328002006482482
near_duplicate,frac_hard_curv,0,0.5587590677573699
near_duplicate,mean_loss,0,0.6400486186139835
near_duplicate,mean_loss_std,0,0.6494790862787468
near_duplicate,mean_loss_curv,0,0.5844999228275969
near_duplicate,user_loss,1,0.4948069550400806
near_duplicate,user_loss_std,0,0.5079038066839638
near_duplicate,user_loss_curv,0,0.5022615497812027
near_duplicate,entropy,1,0.5951188455008489
near_duplicate,entropy_std,0,0.5565557956474765
near_duplicate,entropy_curv,0,0.5069069300818028
near_duplicate,token_loss_skew,1,0.5411229442423204
near_duplicate,token_loss_skew_std,0,0.4263316167935244
near_duplicate,token_loss_skew_curv,0,0.5001324410442587
near_duplicate,token_loss_kurt,0,0.5401958569325096
near_duplicate,token_loss_kurt_std,0,0.45421045660997666
near_duplicate,token_loss_kurt_curv,0,0.49839512616957127
near_duplicate,n_hard,0,0.5234025312548233
near_duplicate,hard_loss_mean,0,0.6109970674486804
near_duplicate,hard_loss_max,0,0.6800914492977311
